time,open,high,low,close,volume,trades
1617638400,59020,59240,58853.14,58983.51,3483.467503,148090
1617642000,58983.51,59078.69,58610,58954.6,2683.09487,124755
1617645600,58954.6,59032.99,58732.08,58876.29,1600.890593,69581
1617649200,58876.3,59089.4,58800,59005.2,1834.250144,68765
1617652800,59005.21,59100,58737.7,58770.61,2148.099702,75718
1617656400,58773.16,58880,58479.59,58664.04,1663.675369,79078
1617660000,58664.04,58967,58664.04,58877.18,1717.467965,68264
1617663600,58877.18,59130,58533.1,59129.99,1873.069762,68480
1617667200,59129.99,59479,59043.47,59356.23,3279.189201,152874
1617670800,59356.23,59495.24,58728.1,58800.01,2467.891456,85771
1617674400,58800.02,58868.96,58635.72,58745.27,1448.834443,48958
1617678000,58745.28,58947.35,58600,58608.7,1203.320036,40996
1617681600,58610.19,58894.05,58601.87,58794.93,1716.387852,50263
1617685200,58794.94,59031.66,58755.56,58867.32,1359.193267,54488
1617688800,58867.31,58969.01,58618,58843.53,1690.611394,66096
1617692400,58843.52,58928.23,58349,58576.59,2311.422694,78764
1617696000,58576.59,59000,58300,58487.37,3332.731056,125882
1617699600,58487.38,58747.74,58419.75,58685.53,1787.072226,74654
1617703200,58681.85,58752.93,58333.02,58365,2565.717795,101545
1617706800,58365,58720,58325.08,58541.34,2278.841791,93378
1617710400,58541.34,58998,58442.89,58471.92,3288.81116,110056
1617714000,58471.93,58677.91,58342,58414.29,2445.677696,90654
1617717600,58414.29,58414.3,57413.02,57949.27,6536.601449,172035
1617721200,57949.27,58085.4,57622,57818.53,2531.959922,84347
1617724800,57818.54,58188.88,57722.23,58077.51,2469.880874,81132
1617728400,58077.51,58271.66,58000,58247.17,1774.688867,72777
1617732000,58247.17,58267.45,57996.01,58238.78,1505.797414,63341
1617735600,58238.78,58282.12,57996,58225,1655.440463,64439
1617739200,58225.01,58311.91,57999.99,58211.84,1503.21866,63475
1617742800,58211.85,58225.95,57555,57860.63,1961.883403,78391
1617746400,57860.63,58040.34,57483.71,57887.24,1660.671452,57833
1617750000,57887.24,58163,57832.34,57991.15,1425.156156,48364
1617753600,57990.03,58200.01,57500.53,57639.29,2427.973637,77741
1617757200,57639.29,57685.99,57161.86,57510.84,2542.119404,71634
1617760800,57510.84,57926.82,57475.86,57784.7,1604.510184,50552
1617764400,57784.7,58124.75,57677.68,57922.75,1594.895156,57342
1617768000,57922.74,57975.73,57268,57645.61,2883.869038,78256
1617771600,57645.61,58317.06,57540.91,58285.99,2754.942848,80517
1617775200,58286,58655,57877.74,58059.53,3465.444177,101396
1617778800,58059.53,58093.01,57420,57850.57,3165.061413,106820
1617782400,57850.57,57938.77,57438.79,57749.03,2452.481874,85896
1617786000,57749.02,57820.01,57000,57466.61,4550.286088,129681
1617789600,57466.61,57610.6,56600,56787.52,3548.856089,107145
1617793200,56787.51,57195,55700,56320.47,8173.364881,196878
1617796800,56320.47,56659.12,55612,56463.22,5088.776518,134225
1617800400,56463.23,56816.72,56335.45,56756.66,3705.192404,121828
1617804000,56753.13,56937.15,56571.44,56660,2747.71963,87480
1617807600,56660,56870,56275,56451.45,2486.231524,84069
1617811200,56451.46,56850,56170.51,56587.44,3262.581394,97788
1617814800,56587.44,56659.26,55972.33,56050.54,2938.065503,99506
1617818400,56054.22,56456,55827.7,55859.13,2354.86463,85897
1617822000,55859.13,56153.83,55473,56153.83,3776.246649,109655
1617825600,56153.84,56250,55717.15,56249.99,1716.413018,69241
1617829200,56250,56374.25,56071.99,56205.73,1261.306956,63214
1617832800,56205.73,56560.29,56108.6,56452.88,1353.731444,56441
1617836400,56452.89,56570.24,55865.11,55953.45,1373.4712,53231
1617840000,55953.44,56520,55700,56429.2,2093.488934,65994
1617843600,56429.58,56700,56242.92,56504.14,1494.435156,44930
1617847200,56504.13,56541.78,56200.3,56497.45,1474.04599,45336
1617850800,56497.44,56654.14,56263.8,56540.62,1443.09607,45017
1617854400,56540.62,57096.46,56529.78,56920.01,2321.525022,70203
1617858000,56920,57073.27,56800,56871.9,1595.619885,92872
1617861600,56871.89,57280,56841.85,57125.99,1942.72265,74411
1617865200,57125.98,57333.85,56995,57025.71,1839.241776,85042
1617868800,57023.63,57267.49,56769.22,56893.04,1680.803421,67263
1617872400,56893.05,57043.99,56600,56676.26,1661.339923,61995
1617876000,56676.25,56844.87,56416.63,56738.09,2164.769464,85149
1617879600,56738.09,56767,56330.77,56421.18,2060.668222,84650
1617883200,56421.17,57556,56311.77,57472.09,3327.120686,86053
1617886800,57472.08,57710.66,57256.81,57437.92,2879.673829,76531
1617890400,57437.93,57912.02,57350.93,57688.36,2848.446625,82866
1617894000,57688.37,57900,57549.62,57768.13,1894.423586,67942
1617897600,57769,58000,57622.09,57722.47,2223.53353,120424
1617901200,57722.59,57813.28,57538.52,57749.09,1280.489124,67310
1617904800,57749.09,58153.31,57682.01,57899.98,1904.283311,76054
1617908400,57899.98,58000,57617.04,57734.94,1320.715876,53711
1617912000,57732.53,57824.49,57575.34,57674.17,1374.895109,56166
1617915600,57674.18,57750,57449.04,57669.7,1033.366107,54419
1617919200,57669.69,58100,57569.8,57916.29,1330.053092,53009
1617922800,57916.3,58099.27,57729.63,58077.52,1094.389631,43733
1617926400,58077.52,58389,58032.01,58301.72,1654.31328,85346
1617930000,58301.72,58419.45,57933.56,57978.35,1326.512151,63579
1617933600,57978.34,58177.02,57850,57903.35,1275.114861,44969
1617937200,57903.35,58167.76,57806.03,57985.71,979.303042,39532
1617940800,57985.71,58200,57971.06,58192.77,1219.538947,60327
1617944400,58192.76,58314,57947.66,57947.67,1277.356886,47279
1617948000,57947.67,58100.94,57809.38,57830,1445.825147,50425
1617951600,57830.81,58062.88,57654,58051.42,1704.039556,70928
1617955200,58048.7,58061.48,57669.58,57740.13,1675.368723,68184
1617958800,57740.12,57935.94,57740.12,57911.45,1569.259373,79852
1617962400,57911.44,58650,57857.95,58633.03,3251.130576,124641
1617966000,58633.02,58894.9,58450.8,58527.19,2951.531801,100495
1617969600,58527.2,58700,58350,58504.18,2290.103815,80957
1617973200,58504.18,58783.47,58304.54,58390.15,2509.534482,85383
1617976800,58390.16,58530,58024,58358.48,2593.210819,89892
1617980400,58358.49,58369.63,58051,58240,1701.007847,66121
1617984000,58239.99,58291.04,57870.57,58207.56,2274.286624,81957
1617987600,58207.56,58447.89,58080.57,58405.08,1407.368662,57492
1617991200,58405.02,58528,58240.35,58381.84,1390.507909,54880
1617994800,58381.85,58499,58208.33,58370.59,1288.287785,51883
1617998400,58370.59,58600,58263.47,58331.66,1388.154447,56995
1618002000,58331.65,58514.07,58310.97,58361.24,888.460055,50514
1618005600,58361.24,58361.24,58025,58086.38,1284.14011,49581
1618009200,58086.37,58181.39,57873.31,58142.54,1487.528013,54750
1618012800,58142.55,58327.9,57900.01,58109.08,1547.050745,86069
1618016400,58109.08,58435.72,58072.92,58413.52,1476.432913,49912
1618020000,58414.98,58733,58334.82,58721.55,1680.436608,53585
1618023600,58721.22,59238.27,58707.1,59229.5,4519.509551,128377
1618027200,59229.5,61232.83,59229.5,61074.09,11794.10786,342925
1618030800,61074.09,61500,60663.1,60851.92,5998.781763,165758
1618034400,60851.91,61050,60521.01,60576.8,2869.435605,81779
1618038000,60576.8,60816.9,60333,60480.4,3925.458861,100981
1618041600,60480.4,60821.58,60338.54,60534.89,2426.387609,90023
1618045200,60534.89,60803,60452.65,60772.73,1891.513568,90066
1618048800,60772.73,60997.18,60515.88,60659.02,1957.635669,98198
1618052400,60659.02,60723.38,60500,60575.94,1553.650081,64157
1618056000,60575.94,60800,59811.74,60088.62,3523.271144,106545
1618059600,60088.61,60490,59981.06,60465.89,2381.214252,88521
1618063200,60465.88,60499,60255,60398.19,2006.878229,71480
1618066800,60398.19,60465.94,60106.85,60247.26,2082.226622,97059
1618070400,60247.26,60550,60116.14,60265,2397.70075,119963
1618074000,60265,60265,59920.86,60100.48,2358.924027,104450
1618077600,60100.48,60115.82,59572.64,60020,2460.215042,98379
1618081200,60020,60020.01,59550,59567.38,1490.84532,58630
1618084800,59567.38,59800,58374.61,58615.28,3793.833218,120539
1618088400,58619.72,59256.36,58485.84,59161.03,2360.073159,95874
1618092000,59161.04,59399.84,59013.79,59029.17,1603.625597,88752
1618095600,59029.17,59842.63,59008.39,59769.13,1807.215923,68376
1618099200,59769.13,60429.56,59544.94,60148.5,3267.635378,108019
1618102800,60148.5,60600,60036.58,60594.67,1914.398174,66005
1618106400,60594.67,60594.68,60262.53,60509.7,1210.228989,73024
1618110000,60509.7,60699,60202.69,60268.58,1441.270928,49556
1618113600,60268.58,60328,59777.77,59906.6,1697.500794,52781
1618117200,59906.59,60012.05,59535.52,59679.97,2572.829914,97386
1618120800,59679.96,59909.68,59339.83,59735,2046.862344,85807
1618124400,59735.01,59790.15,59400,59655.49,1192.611866,49429
1618128000,59655.5,60144.7,59655.49,59961.81,1433.554804,59577
1618131600,59961.81,60045,59455.09,59676.2,1743.375163,92157
1618135200,59676.2,59950.81,59500,59599.99,1608.373258,86408
1618138800,59600,59860.87,59450,59721.84,1669.713692,66292
1618142400,59721.85,59844,59449.93,59724.45,1722.788442,81160
1618146000,59724.44,59746,59232.52,59340.55,1816.723554,74619
1618149600,59340.54,59664.98,59250,59570.77,1626.838611,60875
1618153200,59573.36,59780.06,59558,59645.46,1515.938864,70629
1618156800,59645.45,59785.37,59480,59569.4,1802.114348,92962
1618160400,59569.41,59975.95,59405.18,59864.39,2132.313387,91480
1618164000,59864.39,59948.89,59758.63,59865,1183.987714,56613
1618167600,59865.01,60190,59557.13,59705.53,1932.371834,71642
1618171200,59705.53,59820,59479,59707.8,1158.885152,54707
