time,open,high,low,close,volume
1577984400,7052.32,7053.09,6924.74,6970.04,6183.82554
1577988000,6970.04,6989.68,6949.96,6974.02,1513.597939
1577991600,6974.02,6995,6960,6983.27,1397.130602
1577995200,6982.63,6983.22,6941.27,6948.49,1138.646334
1577998800,6948.16,6985,6946.2,6977.73,665.856715
1578002400,6977.55,6978.24,6963.02,6974.8,568.324029
1578006000,6974.8,6974.8,6950,6965.71,741.067591
1578009600,6965.49,6966.47,6912.88,6937,1106.732043
1578013200,6937,6946.07,6878.19,6888.85,2402.581684
1578016800,6888.26,6966.8,6871.04,6956.88,2869.993553
1578020400,6957.66,6966.36,6940,6952.04,1246.589508
1578024000,6952.04,7264.71,6948.64,7210.19,9560.897697
1578027600,7210.2,7249,7168.48,7220.47,3575.770965
1578031200,7220.49,7225,7190.14,7202.22,2075.25916
1578034800,7202.06,7232,7185.04,7203.21,2185.376884
1578038400,7202.28,7297.29,7202.28,7260.6,3976.534509
1578042000,7260.64,7358.88,7256.56,7348.42,5469.030632
1578045600,7349.3,7371.92,7281.3,7312.25,3924.462414
1578049200,7312.26,7346,7306.61,7340.46,1826.857466
1578052800,7340.46,7350.19,7303.14,7322.78,1717.22262
1578056400,7324.1,7380,7311.59,7348.87,1906.468998
1578060000,7348.36,7362.31,7229.3,7254.73,4583.643119
1578063600,7255.49,7322.44,7252.48,7320.18,2371.650792
1578067200,7320.17,7405,7293.1,7386.03,5852.326934
1578070800,7388.21,7403.2,7335.21,7355.26,2201.223063
1578074400,7355.23,7369.47,7330.32,7342.96,1422.531602
1578078000,7342.95,7352.33,7280,7343.08,2259.002878
1578081600,7343.62,7361,7297.01,7316.99,1546.013182
1578085200,7317.01,7335,7262.68,7283,1227.929145
1578088800,7281.69,7320.54,7260.01,7300.56,1407.545265
1578092400,7301.32,7346.08,7291.75,7344.96,1712.856338
1578096000,7345,7350,7289.98,7302.24,1240.406484
1578099600,7304.96,7312.58,7280.85,7309.16,821.321239
1578103200,7308.71,7328.99,7296.18,7327.83,868.281715
1578106800,7328.21,7339.69,7318.56,7333.11,763.775397
1578110400,7333.14,7338.46,7312.65,7334.86,691.833205
1578114000,7334.59,7369.28,7325,7344.69,1306.738785
1578117600,7344.7,7367.88,7340,7354.96,1168.097036
1578121200,7354.95,7363.63,7327.32,7348.11,1352.880865
1578124800,7348.04,7365,7330,7346.59,1272.743225
1578128400,7346.4,7369.18,7339.28,7363.88,1084.110633
1578132000,7364.32,7369.63,7304.36,7318.3,1807.551552
1578135600,7318.15,7339.27,7302.1,7336.45,1520.454655
1578139200,7336.75,7339.58,7305,7312.89,1131.422667
1578142800,7312.79,7326.49,7291,7303.88,1549.128326
1578146400,7303.72,7323.74,7296.44,7316.72,874.231693
1578150000,7315.51,7332,7305,7318.99,870.0506
1578153600,7318.98,7323.26,7297.91,7307.11,1043.417942
1578157200,7308,7352,7305,7351.99,1237.984296
1578160800,7351.36,7404,7272.21,7306.92,4110.024469
1578164400,7306.6,7353.84,7283.01,7334.83,1966.929401
1578168000,7334.89,7352.64,7310.67,7341.06,1433.864061
1578171600,7340.9,7367.31,7330.72,7350.68,869.007514
1578175200,7350.72,7359.7,7342.67,7350.24,474.926109
1578178800,7350.05,7363,7328.9,7354.11,528.793108
1578182400,7354.19,7393,7354.11,7373.48,1432.35544
1578186000,7373.43,7481.87,7373.43,7459.18,6394.85574
1578189600,7459.91,7482.87,7432.79,7443.79,2038.01579
1578193200,7443.92,7478,7439.33,7475.99,1446.222876
1578196800,7476,7495,7444,7457.14,1859.909467
1578200400,7457.18,7470,7444,7459.12,952.444318
1578204000,7458.51,7481.25,7437.4,7457.5,1166.464289
1578207600,7457.83,7470.36,7442,7463.63,888.087854
1578211200,7463.64,7472,7410,7430.05,1595.878334
1578214800,7430,7436.84,7400,7427.74,2072.537095
1578218400,7427.7,7432.28,7403.21,7415.12,995.14421
1578222000,7415.1,7440,7410,7422.33,1001.517619
1578225600,7422.27,7460.46,7421.93,7457.01,1079.561263
1578229200,7457.79,7458,7415,7431.15,1337.571084
1578232800,7431.16,7444.73,7425,7431.82,831.78756
1578236400,7431.71,7476.31,7430.99,7468.42,1839.988518
